flight_type,in_flight_no,origin,eta,bay,gate,reg_no,out_flight_no,dest,etd,ac_type
Full ,ET302 ,ADD ,10:20,9,9,ETALK, ET303, ADD, 11:35,B738
Arr, ET304, ADD, 12:20,9,, ETAQO,, ADD, 13:44,B738
Park,, ADD, 13:50,9,, ETAQO,, ADD, 15:59,B738
Dep,, ADD, 16:05,9,9,ETAQO, ET305, ADD, 17:35,B738
Full, ET306, ADD, 18:15,9,9,ETARD, ET307, ADD, 19:35,B738
Arr, ET308, ADD, 23:40,8,,,, ADD, 1:04,B738
Park,, ADD, 1:10,8,,,,ADD, 4:24,B738
Dep,, ADD, 4:30,8,8,,ET309, ADD, 6:00,B738
Full, KL565, AMS, 20:25,7,7,, KL566, AMS, 22:25,B747
Full, KQ101, LHR, 6:30,19,19, KZZ, KQ116, AMS, 8:15,B773
Full, KQ113, CDG, 20:00,19,19, KZB, KQ112, CDG, 23:05,B788
Full, KQ117, AMS, 6:20,17,17,KZX, KQ116, AMS, 8:35,B773
Full, KQ205, BOM, 11:00,17,25,CYC, KQ586, NLA, 12:30,B738
Full, KQ211, BOM, 20:55,18,18,KZC, KQ102, LHR ,23:25,B788
Arr, KQ251, SEZ, 18:55, SPV1,, KQH,,, 20:19,B737
Park,, SEZ, 20:25, SPV1,, KQH,,, 22:23,B737
Dep,, SEZ, 22:29, SPV1, None, KQH,,, 23:59,B737
Full, KQ257, TNR, 20:15,16,16,KYF ,KQ204, BOM, 21:55 ,B738
Full, KQ263, TNR, 6:50,13,13,KQG ,KQ512, DKR, 8:10,B737
Arr, KQ265, HAH, 17:40, J1,, KYT,,, 19:04, E90 
Park,, HAH, 19:10, J1,, KYT,,, 22:23, E90 
Dep,, HAH, 22:29, J1, None, KYT,,, 23:59, E90 
Full, KQ305, DXB, 10:15,20,20,CYD ,KQ762, JNB, 12:00,B738
Arr, KQ311, DXB, 6:55, J1,, KZA,, DXB, 8:19,B788
Park,, DXB, 8:25, J1,, KZA,, DXB, 17:39,B788
Dep,, DXB, 17:45,19,19, KZA ,KQ310, DXB, 19:15,B788
Arr, KQ331, JED, 6:55, J9,, FFE,, LUN, 8:19, E90 
Park,, JED, 8:25,12,, FFE,, LUN, 10:49, E90 
Dep ,,JED, 10:55,12,12,FFE ,KQ726, LUN, 12:25, E90 
Arr, KQ349, KRT, 6:35, J4A,, KYT,, HAH, 7:59, E90 
Park,, KRT, 8:05, J4A,, KYT,, HAH, 10:24, E90 
Dep,, KRT, 10:30, J4A,15, KYT, KQ264, HAH, 12:00, E90 
Full, KQ351, JUB, 12:10, 2B,1,FFG ,KQ656 ,KIS ,13:05, E90 
Full, KQ353, JUB, 18:10, 3B,1,FFF, KQ616, MBA, 18:55 ,E90 
Full ,KQ411, EBB, 11:10,14,14,KQF ,KQ770, LAD, 12:10,B737
Full, KQ413, EBB, 15:05,16,16, KYP ,KQ444, KGL, 16:10, E90 
Full ,KQ415, EBB, 19:45, J6,15,FFK, KQ348, KRT, 22:50, E90 
Full ,KQ417, EBB, 22:15, H6, None, KYR,,, 23:59, E90 
Full, KQ419, EBB, 6:35,8,8,FFC, KQ706, HRE, 8:10, E90 
Full, KQ433, JRO, 10:50,11,10, KYQ, KQ780, HRE, 13:00, E90 
Full ,KQ444, KGL, 21:15, J2A, None, KYP,,, 23:59, E90 
Full, KQ448, BJM, 13:00,20,20,FFF ,KQ352 ,JUB ,13:50,E90 
Full ,KQ467, KGL, 6:05, H4 ,15,FFA ,KQ760, JNB ,8:30,E90 
Full, KQ481, DAR, 11:10,7,7,KYS, KQ482, DAR, 12:15 ,E90 
Full, KQ483, DAR, 15:40, 4L ,2,KYS, KQ610, MBA, 16:30, E90 
Full, KQ485, DAR, 19:20,12,12,FFJ ,KQ488 ,DAR, 22:50, E90 
Full, KQ487, DAR, 22:15,9,25,FFA ,KQ262, TNR, 22:40, E90 
Full, KQ489, DAR, 6:40, 3B,2,FFK ,KQ654, KIS, 9:45, E90 
Full, KQ495, ZNZ, 11:10,13,13, KYP, KQ412, EBB, 12:00, E90 
