idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  
  0  ,    ft.Full  ,       BA065  ,   LHR  ,20:30  ,  11  ,  10  ,        ,        BA064  , LHR  ,23:15  ,   B772  
  1  ,    ft.Full  ,       EK719  ,   DXB  ,14:30  ,   7  ,   7  ,        ,        EK720  , DUB  ,16:40  ,   B773  
  2  ,    ft.Full  ,       ET302  ,   ADD  ,10:20  ,   9  ,   9  ,   AOB  ,        ET303  , ADD  ,11:35  ,   B738  
  3  ,     ft.Arr  ,       ET304  ,   ADD  ,12:20  ,   9  ,      ,        ,               , ADD  ,13:44  ,   B738  
  4  ,    ft.Park  ,              ,   ADD  ,13:50  ,   9  ,      ,        ,               , ADD  ,15:59  ,   B738  
  5  ,     ft.Dep  ,              ,   ADD  ,16:05  ,   9  ,   9  ,        ,        ET305  , ADD  ,17:35  ,   B738  
  6  ,    ft.Full  ,       ET306  ,   ADD  ,18:15  ,   8  ,   8  ,   ALM  ,        ET307  , ADD  ,19:35  ,   B737  
  7  ,     ft.Arr  ,       ET308  ,   ADD  ,23:45  ,   8  ,      ,        ,               , ADD  ,01:09  ,   B738  
  8  ,    ft.Park  ,              ,   ADD  ,01:15  ,   8  ,      ,        ,               , ADD  ,04:24  ,   B738  
  9  ,     ft.Dep  ,              ,   ADD  ,04:30  ,   8  ,   8  ,        ,        ET309  , ADD  ,06:00  ,   B738  
 10  ,    ft.Full  ,       EY641  ,   AUH  ,12:47  ,   7  ,   7  ,        ,        EY642  , AUH  ,13:40  ,   A320  
 11  ,    ft.Full  ,       G9734  ,   SHJ  ,13:06  ,  10  ,  10  ,        ,        G9735  , SHJ  ,13:40  ,   A320  
 12  ,    ft.Full  ,       KL565  ,   AMS  ,20:25  ,   8  ,   8  ,        ,        KL566  , AMS  ,22:25  ,   B747  
 13  ,     ft.Arr  ,       KQ101  ,   LHR  ,06:30  ,  11  ,      ,   KZC  ,               , DXB  ,07:54  ,   B788  
 14  ,    ft.Park  ,              ,   LHR  ,08:00  ,  11  ,      ,   KZC  ,               , DXB  ,17:39  ,   B788  
 15  ,     ft.Dep  ,              ,   LHR  ,17:45  ,  11  ,  22  ,   KZC  ,        KQ310  , DXB  ,19:15  ,   B788  
 16  ,    ft.Full  ,       KQ117  ,   AMS  ,06:10  ,  19  ,  19  ,   KZY  ,        KQ116  , AMS  ,08:35  ,   B773  
 17  ,    ft.Full  ,       KQ205  ,   BOM  ,10:30  ,  16  ,  16  ,   CYB  ,        KQ704  , LUN  ,12:05  ,   B738  
 18  ,    ft.Full  ,       KQ251  ,   SEZ  ,18:25  ,  12  ,  12  ,   FFA  ,        KQ330  , JED  ,21:30  ,    E90  
 19  ,     ft.Arr  ,       KQ252  ,   HAH  ,18:25  ,  16  ,      ,   KQH  ,               ,      ,19:49  ,   B737  
 20  ,    ft.Park  ,              ,   HAH  ,19:55  ,  16  ,      ,   KQH  ,               ,      ,22:23  ,   B737  
 21  ,     ft.Dep  ,              ,   HAH  ,22:29  ,  16  ,      ,   KQH  ,               ,      ,23:59  ,   B737  
 22  ,     ft.Arr  ,       KQ257  ,   TNR  ,20:15  ,  3C  ,      ,   FFC  ,               , ABV  ,21:39  ,    E90  
 23  ,    ft.Park  ,              ,   TNR  ,21:45  ,  3C  ,      ,   FFC  ,               , ABV  ,06:19  ,    E90  
 24  ,     ft.Dep  ,              ,   TNR  ,06:25  ,  3C  ,  12  ,   FFC  ,        KQ536  , ABV  ,07:55  ,    E90  
 25  ,    ft.Full  ,       KQ257  ,   TNR  ,20:15  ,  J6  ,  23  ,   FFB  ,        KQ708  , HRE  ,23:00  ,    E90  
 26  ,     ft.Arr  ,       KQ311  ,   DXB  ,06:55  ,  18  ,      ,   KZB  ,               , FIH  ,08:19  ,   B788  
 27  ,    ft.Park  ,              ,   DXB  ,08:25  ,  18  ,      ,   KZB  ,               , FIH  ,10:29  ,   B788  
 28  ,     ft.Dep  ,              ,   DXB  ,10:35  ,  18  ,  18  ,   KZB  ,        KQ554  , FIH  ,12:05  ,   B788  
 29  ,    ft.Full  ,       KQ349  ,   KRT  ,06:35  ,  H7  ,  14  ,   FFJ  ,        KQ402  , JIB  ,08:15  ,    E90  
 30  ,    ft.Full  ,       KQ351  ,   JUB  ,12:10  ,  3C  ,   1  ,   FFH  ,        KQ608  , MBA  ,14:15  ,    E90  
 31  ,    ft.Full  ,       KQ353  ,   JUB  ,18:00  ,  2C  ,   2  ,   KYR  ,        KQ624  , MBA  ,22:55  ,    E90  
 32  ,    ft.Full  ,       KQ403  ,   ADD  ,17:30  ,  14  ,  14  ,   FFJ  ,        KQ416  , EBB  ,19:10  ,    E90  
