idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  ,           pref  
  0  ,    ft.Full  ,       ET302  ,   ADD  ,10:20  ,   9  ,   9  , ETALK  ,        ET303  , ADD  ,11:35  ,   B738  ,ADD, (8;9), (8;9)  
  1  ,     ft.Arr  ,       ET304  ,   ADD  ,12:20  ,   9  ,      , ETAQO  ,               , ADD  ,13:44  ,   B738  ,ADD, (8;9), (8;9)  
  2  ,    ft.Park  ,              ,   ADD  ,13:50  ,   9  ,      , ETAQO  ,               , ADD  ,15:59  ,   B738  ,ADD, (8;9), (8;9)  
  3  ,     ft.Dep  ,              ,   ADD  ,16:05  ,   9  ,   9  , ETAQO  ,        ET305  , ADD  ,17:35  ,   B738  ,ADD, (8;9), (8;9)  
  4  ,    ft.Full  ,       ET306  ,   ADD  ,18:15  ,   8  ,   8  , ETARD  ,        ET307  , ADD  ,19:35  ,   B738  ,ADD, (8;9), (8;9)  
  5  ,     ft.Arr  ,       ET308  ,   ADD  ,23:40  ,   8  ,      ,        ,               , ADD  ,01:04  ,   B738  ,ADD, (8;9), (8;9)  
  6  ,    ft.Park  ,              ,   ADD  ,01:10  ,   8  ,      ,        ,               , ADD  ,04:24  ,   B738  ,ADD, (8;9), (8;9)  
  7  ,     ft.Dep  ,              ,   ADD  ,04:30  ,   8  ,   8  ,        ,        ET309  , ADD  ,06:00  ,   B738  ,ADD, (8;9), (8;9)  
  8  ,    ft.Full  ,       KL565  ,   AMS  ,20:25  ,   8  ,   8  ,        ,        KL566  , AMS  ,22:25  ,   B747  ,                 
  9  ,    ft.Full  ,       KQ101  ,   LHR  ,06:30  ,  18  ,  18  ,   KZZ  ,        KQ116  , AMS  ,08:15  ,   B773  ,                 
 10  ,    ft.Full  ,       KQ113  ,   CDG  ,20:00  ,  19  ,  19  ,   KZB  ,        KQ112  , CDG  ,23:05  ,   B788  ,CDG, (19), (19)  
 11  ,    ft.Full  ,       KQ117  ,   AMS  ,06:20  ,  19  ,  19  ,   KZX  ,        KQ116  , AMS  ,08:35  ,   B773  ,AMS, (19), (19)  
 12  ,    ft.Full  ,       KQ205  ,   BOM  ,11:00  ,  18  ,  18  ,   CYC  ,        KQ586  , NLA  ,12:30  ,   B738  ,                 
 13  ,    ft.Full  ,       KQ211  ,   BOM  ,20:55  ,  18  , 20B  ,   KZC  ,        KQ102  , LHR  ,23:25  ,   B788  ,LHR, (18), (20B)  
 14  ,     ft.Arr  ,       KQ251  ,   SEZ  ,18:55  ,  16  ,      ,   KQH  ,               ,      ,20:19  ,   B737  ,                 
 15  ,    ft.Park  ,              ,   SEZ  ,20:25  ,  16  ,      ,   KQH  ,               ,      ,22:23  ,   B737  ,                 
 16  ,     ft.Dep  ,              ,   SEZ  ,22:29  ,  16  ,      ,   KQH  ,               ,      ,23:59  ,   B737  ,                 
 17  ,    ft.Full  ,       KQ257  ,   TNR  ,20:15  ,  4R  ,  12  ,   KYF  ,        KQ204  , BOM  ,21:55  ,   B738  ,                 
 18  ,    ft.Full  ,       KQ263  ,   TNR  ,06:50  , J4A  ,  23  ,   KQG  ,        KQ512  , DKR  ,08:10  ,   B737  ,                 
 19  ,     ft.Arr  ,       KQ265  ,   HAH  ,17:40  ,  20  ,      ,   KYT  ,               ,      ,19:04  ,    E90  ,                 
 20  ,    ft.Park  ,              ,   HAH  ,19:10  ,  20  ,      ,   KYT  ,               ,      ,22:23  ,    E90  ,                 
 21  ,     ft.Dep  ,              ,   HAH  ,22:29  ,  20  ,      ,   KYT  ,               ,      ,23:59  ,    E90  ,                 
 22  ,    ft.Full  ,       KQ305  ,   DXB  ,10:15  ,  20  ,  20  ,   CYD  ,        KQ762  , JNB  ,12:00  ,   B738  ,                 
 23  ,     ft.Arr  ,       KQ311  ,   DXB  ,06:55  ,   6  ,      ,   KZA  ,               , DXB  ,08:19  ,   B788  ,DXB, (19), (19)  
 24  ,    ft.Park  ,              ,   DXB  ,08:25  ,   6  ,      ,   KZA  ,               , DXB  ,17:39  ,   B788  ,DXB, (19), (19)  
 25  ,     ft.Dep  ,              ,   DXB  ,17:45  ,  19  ,  19  ,   KZA  ,        KQ310  , DXB  ,19:15  ,   B788  ,DXB, (19), (19)  
 26  ,     ft.Arr  ,       KQ331  ,   JED  ,06:55  ,  15  ,      ,   FFE  ,               , LUN  ,08:19  ,    E90  ,                 
 27  ,    ft.Park  ,              ,   JED  ,08:25  ,  15  ,      ,   FFE  ,               , LUN  ,10:49  ,    E90  ,                 
 28  ,     ft.Dep  ,              ,   JED  ,10:55  ,  15  ,  15  ,   FFE  ,        KQ726  , LUN  ,12:25  ,    E90  ,                 
 29  ,     ft.Arr  ,       KQ349  ,   KRT  ,06:35  ,  11  ,      ,   KYT  ,               , HAH  ,07:59  ,    E90  ,                 
 30  ,    ft.Park  ,              ,   KRT  ,08:05  ,  11  ,      ,   KYT  ,               , HAH  ,10:24  ,    E90  ,                 
 31  ,     ft.Dep  ,              ,   KRT  ,10:30  ,  11  ,  10  ,   KYT  ,        KQ264  , HAH  ,12:00  ,    E90  ,                 
 32  ,    ft.Full  ,       KQ351  ,   JUB  ,12:10  ,  2C  ,   2  ,   FFG  ,        KQ656  , KIS  ,13:05  ,    E90  ,                 
 33  ,    ft.Full  ,       KQ353  ,   JUB  ,18:10  ,  4R  ,   1  ,   FFF  ,        KQ616  , MBA  ,18:55  ,    E90  ,                 
 34  ,    ft.Full  ,       KQ411  ,   EBB  ,11:10  ,  12  ,  12  ,   KQF  ,        KQ770  , LAD  ,12:10  ,   B737  ,                 
 35  ,    ft.Full  ,       KQ413  ,   EBB  ,15:05  ,  20  ,  20  ,   KYP  ,        KQ444  , KGL  ,16:10  ,    E90  ,                 
 36  ,    ft.Full  ,       KQ415  ,   EBB  ,19:45  , J3B  ,  21  ,   FFK  ,        KQ348  , KRT  ,22:50  ,    E90  ,                 
 37  ,    ft.Full  ,       KQ417  ,   EBB  ,22:15  ,   9  ,      ,   KYR  ,               ,      ,23:59  ,    E90  ,                 
 38  ,    ft.Full  ,       KQ419  ,   EBB  ,06:35  , J3A  ,  15  ,   FFC  ,        KQ706  , HRE  ,08:10  ,    E90  ,                 
 39  ,    ft.Full  ,       KQ433  ,   JRO  ,10:50  ,  2B  , 20B  ,   KYQ  ,        KQ780  , HRE  ,13:00  ,    E90  ,                 
 40  ,    ft.Full  ,       KQ444  ,   KGL  ,21:15  ,   6  ,      ,   KYP  ,               ,      ,23:59  ,    E90  ,                 
 41  ,    ft.Full  ,       KQ448  ,   BJM  ,13:00  ,  20  ,  20  ,   FFF  ,        KQ352  , JUB  ,13:50  ,    E90  ,                 
 42  ,    ft.Full  ,       KQ467  ,   KGL  ,06:05  , J3B  ,  21  ,   FFA  ,        KQ760  , JNB  ,08:30  ,    E90  ,                 
 43  ,    ft.Full  ,       KQ481  ,   DAR  ,11:10  ,   7  ,   7  ,   KYS  ,        KQ482  , DAR  ,12:15  ,    E90  ,                 
 44  ,    ft.Full  ,       KQ483  ,   DAR  ,15:40  ,  3C  ,   1  ,   KYS  ,        KQ610  , MBA  ,16:30  ,    E90  ,                 
 45  ,    ft.Full  ,       KQ485  ,   DAR  ,19:20  , J4A  ,  22  ,   FFJ  ,        KQ488  , DAR  ,22:50  ,    E90  ,                 
 46  ,    ft.Full  ,       KQ487  ,   DAR  ,22:15  , J3A  ,  24  ,   FFA  ,        KQ262  , TNR  ,22:40  ,    E90  ,                 
 47  ,    ft.Full  ,       KQ489  ,   DAR  ,06:40  ,  J1  ,   1  ,   FFK  ,        KQ654  , KIS  ,09:45  ,    E90  ,                 
 48  ,    ft.Full  ,       KQ495  ,   ZNZ  ,11:10  ,  3B  ,  23  ,   KYP  ,        KQ412  , EBB  ,12:00  ,    E90  ,                 
 49  ,    ft.Full  ,       KQ499  ,   ZNZ  ,07:00  ,  H1  ,   5  ,   KYR  ,        KQ494  , ZNZ  ,08:00  ,    E90  ,                 
 50  ,    ft.Full  ,       KQ505  ,   ACC  ,06:15  ,  13  ,  13  ,   KYE  ,        KQ522  , NSI  ,09:50  ,   B738  ,                 
 51  ,     ft.Arr  ,       KQ521  ,   ABJ  ,06:20  ,  14  ,      ,   KYD  ,               , EBB  ,07:44  ,   B738  ,                 
 52  ,    ft.Park  ,              ,   ABJ  ,07:50  ,  14  ,      ,   KYD  ,               , EBB  ,21:19  ,   B738  ,                 
 53  ,     ft.Dep  ,              ,   ABJ  ,21:25  ,  14  ,  14  ,   KYD  ,        KQ418  , EBB  ,22:55  ,   B738  ,                 
 54  ,    ft.Full  ,       KQ522  ,   NSI  ,20:30  ,  10  ,      ,   KYE  ,               ,      ,23:59  ,   B738  ,                 
 55  ,    ft.Full  ,       KQ533  ,   LOS  ,19:55  ,  15  ,  15  ,   CYA  ,        KQ764  , JNB  ,21:45  ,   B738  ,                 
 56  ,    ft.Full  ,       KQ537  ,   ABV  ,19:20  ,  2B  ,  18  ,   FFB  ,        KQ720  , LUN  ,22:10  ,    E90  ,                 
 57  ,    ft.Full  ,       KQ555  ,   FIH  ,20:25  ,  17  ,  17  ,   KZG  ,        KQ886  , CAN  ,23:15  ,   B788  ,                 
 58  ,    ft.Full  ,       KQ586  ,   NLA  ,20:05  ,  12  ,      ,   CYC  ,               ,      ,23:59  ,   B738  ,                 
 59  ,    ft.Full  ,       KQ603  ,   MBA  ,11:10  ,  13  ,  13  ,   KQH  ,        KQ250  , SEZ  ,11:50  ,   B737  ,                 
 60  ,    ft.Full  ,       KQ607  ,   MBA  ,15:45  ,  19  ,  19  ,   FFK  ,        KQ414  , EBB  ,16:40  ,    E90  ,                 
