bay ,    1,    2,    3,    4,    5,    7,    8,    9,   10,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,  20B
2A  ,   55,    0,    x,  103,  166,  249,  314,  354,  406,  514,  561,  616,  722,  766,  830,  854,  892,  946,  685,  685,  685,  685,  685
2B  ,   55,    0,    x,  103,  166,  249,  314,  354,  406,  514,  561,  616,  722,  766,  830,  854,  892,  946,  685,  685,  685,  685,  685
2C  ,   55,    0,    x,  103,  166,  249,  314,  354,  406,  514,  561,  616,  722,  766,  830,  854,  892,  946,  685,  685,  685,  685,  685
3A  ,  112,   57,    x,   46,  109,  192,  257,  297,  349,  457,  504,  559,  665,  709,  773,  797,  835,  889,  628,  628,  628,  628,  628
3B  ,  112,   57,    x,   46,  109,  192,  257,  297,  349,  457,  504,  559,  665,  709,  773,  797,  835,  889,  628,  628,  628,  628,  628
3C  ,  112,   57,    x,   46,  109,  192,  257,  297,  349,  457,  504,  559,  665,  709,  773,  797,  835,  889,  628,  628,  628,  628,  628
4L  ,  158,  103,    x,    0,   63,  146,  211,  251,  303,  411,  458,  513,  619,  663,  727,  751,  789,  843,  582,  582,  582,  582,  582
4R  ,  158,  103,    x,    0,   63,  146,  211,  251,  303,  411,  458,  513,  619,  663,  727,  751,  789,  843,  582,  582,  582,  582,  582
5   ,  221,  166,    x,   63,    0,   83,  148,  188,  240,  348,  395,  450,  556,  600,  664,  688,  726,  780,  519,  519,  519,  519,  519
6   ,  221,  166,    x,   63,    0,   83,  148,  188,  240,  348,  395,  450,  556,  600,  664,  688,  726,  780,  519,  519,  519,  519,  519
7   ,  304,  249,    x,  146,   83,    0,   65,  105,  157,  265,  312,  367,  473,  517,  581,  605,  643,  697,  436,  436,  436,  436,  436
8   ,  369,  314,    x,  211,  148,   65,    0,   40,   92,  200,  247,  302,  408,  452,  516,  540,  578,  632,  371,  371,  371,  371,  371
9   ,  409,  354,    x,  251,  188,  105,   40,    0,   52,  160,  207,  262,  368,  412,  476,  500,  538,  592,  331,  331,  331,  331,  331
10  ,  461,  406,    x,  303,  240,  157,   92,   52,    0,  108,  155,  210,  316,  360,  424,  448,  486,  540,  279,  279,  279,  279,  279
11  ,  461,  406,    x,  303,  240,  157,   92,   52,    0,  108,  155,  210,  316,  360,  424,  448,  486,  540,  279,  279,  279,  279,  279
12  ,  569,  514,    x,  411,  348,  265,  200,  160,  108,    0,   47,  102,  208,  252,  316,  340,  378,  432,  171,  171,  171,  171,  171
13  ,  616,  561,    x,  458,  395,  312,  247,  207,  155,   47,    0,   55,  161,  205,  269,  293,  331,  385,  124,  124,  124,  124,  124
14  ,  671,  616,    x,  513,  450,  367,  302,  262,  210,  102,   55,    0,  106,  150,  214,  238,  276,  330,   69,   69,   69,   69,   69
15  ,  777,  722,    x,  619,  556,  473,  408,  368,  316,  208,  161,  106,    0,   44,  108,  132,  170,  224,   37,   37,   37,   37,   37
16  ,  821,  766,    x,  663,  600,  517,  452,  412,  360,  252,  205,  150,   44,    0,   64,   88,  126,  180,   81,   81,   81,   81,   81
17  ,  885,  830,    x,  727,  664,  581,  516,  476,  424,  316,  269,  214,  108,   64,    0,   24,   62,  116,  145,  145,  145,  145,  145
18  ,  909,  854,    x,  751,  688,  605,  540,  500,  448,  340,  293,  238,  132,   88,   24,    0,   38,   92,  169,  169,  169,  169,  169
