flight_type,in_flight_no,origin,eta,bay,gate,reg_no,out_flight_no,dest,etd,ac_type
Full,BA065,LHR,20:30,11,10,,BA064,LHR,23:15,B772
Full,EK719,DXB,14:30,8,8,,EK720,DUB,16:40,B773
Full,ET302,ADD,10:20,9,9,AOB,ET303,ADD,11:35,B738
Arr,ET304,ADD,12:20,9,,,,ADD,13:44,B738
Park,,ADD,13:50,9,,,,ADD,15:59,B738
Dep,,ADD,16:05,9,9,,ET305,ADD,17:35,B738
Full,ET306,ADD,18:15,9,9,ALM,ET307,ADD,19:35,B737
Arr,ET308,ADD,23:45,8,,,,ADD,1:09,B738
Park,,ADD,1:15,8,,,,ADD,4:24,B738
Dep,,ADD,4:30,8,8,,ET309,ADD,6:00,B738
Full,EY641,AUH,12:47,7,7,,EY642,AUH,13:40,A320
Full,G9734,SHJ,13:06,10,10,,G9735,SHJ,13:40,A320
Full,KL565,AMS,20:25,7,7,,KL566,AMS,22:25,B747
Arr,KQ101,LHR,6:30,6,,KZC,,DXB,7:54,B788
Park,,LHR,8:00,6,,KZC,,DXB,17:39,B788
Dep,,LHR,17:45,19,,KZC,KQ310,DXB,19:15,B788
Full,KQ117,AMS,6:10,19,19,KZY,KQ116,AMS,8:35,B773
Full,KQ205,BOM,10:30,20,19,CYB,KQ704,LUN,12:05,B738
Full,KQ251,SEZ,18:25,14,20,FFA,KQ330,JED,21:30,E90
Arr,KQ252,HAH,18:25,J2A,14,KQH,,,19:49,B737
Park,,HAH,19:55,J2A,,KQH,,,22:23,B737
Dep,,HAH,22:29,J2A,None,KQH,,,23:59,B737
Arr,KQ257,TNR,20:15,3C,,FFC,,ABV,21:39,E90
Park,,TNR,21:45,3C,,FFC,,ABV,6:19,E90
Dep,,TNR,6:25,3C,4,FFC,KQ536,ABV,7:55,E90
Full,KQ257,TNR,20:15,13,13,FFB,KQ708,HRE,23:00,E90
Arr,KQ311,DXB,6:55,11,,KZB,,FIH,8:19,B788
Park,,DXB,8:25,11,,KZB,,FIH,10:29,B788
Dep,,DXB,10:35,11,10,KZB,KQ554,FIH,12:05,B788
Full,KQ349,KRT,6:35,8,8,FFJ,KQ402,JIB,8:15,E90
